id,x,y,demand
0,50.0,50.0,0.0
1,32.38327648331624,15.084917392450192,6.0
2,7.243628666754276,53.58820043066892,16.0
3,58.278800590335514,90.97040631431022,11.0
4,3.749565844198488,43.364568366238586,7.0
5,24.066300012702502,55.10472537913857,6.0
6,82.68521246720381,12.380196114964559,12.0
7,63.06259157317371,58.29969044604073,6.0
8,57.710294861749865,39.66804746507802,12.0
9,4.658268061775628,85.84684590486795,14.0
10,41.91390435714653,54.06858855321425,14.0
11,56.02572770128127,68.20026947612045,8.0
12,58.16001636624662,63.89134689261841,16.0
13,9.743057599473337,71.21107657461536,6.0
14,61.90095931735539,49.64144951134918,18.0
15,77.7228774980807,46.5601865839674,19.0
16,36.158235594456634,24.84265848575493,10.0
17,69.89944337295712,24.40965107221529,14.0
18,52.51965038114514,87.51374955734289,19.0
19,28.79377648901865,98.01748474925822,8.0
20,51.193283064754915,16.49621036435732,15.0
21,15.198453466050477,48.89631004758056,6.0
22,96.20190834121097,7.762048218079554,15.0
23,34.01223621911955,35.01783877191683,20.0
24,57.98952042824922,45.620533130141304,7.0
